Student_ID,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%)
S1000,81.0,30.1,2,82.8
S1001,73.3,31.4,0,64.4
S1002,82.8,34.5,4,67.6
S1003,93.3,34.3,6,78.6
S1004,72.2,19.7,5,64.9
S1005,72.2,22.4,0,71.8
S1006,94.0,31.1,4,77.2
S1007,84.2,31.1,4,73.5
S1008,69.4,31.1,5,69.3
S1009,81.5,40.0,2,91.7
S1010,69.4,31.4,4,83.6
S1011,69.4,34.8,6,63.7
S1012,77.9,33.7,4,51.4
S1013,52.0,31.9,4,74.6
S1014,54.3,26.1,4,68.2
S1015,68.3,32.6,9,90.6
S1016,62.8,23.4,9,79.8
S1017,78.8,26.6,2,76.5
S1018,64.1,25.1,0,65.2
S1019,58.1,28.5,4,51.9
S1020,92.6,40.0,8,62.0
S1021,72.3,16.8,0,72.2
S1022,75.8,32.1,2,39.1
S1023,57.9,18.3,3,83.6
S1024,68.5,25.2,0,96.0
S1025,76.3,34.5,0,35.8
S1026,61.2,28.4,7,44.0
S1027,79.5,21.5,1,68.4
S1028,67.8,23.7,7,56.3
S1029,71.5,32.1,6,68.9
S1030,67.8,23.6,9,63.9
S1031,97.2,29.3,9,49.6
S1032,74.8,28.3,1,84.3
S1033,62.3,24.1,5,72.0
S1034,84.9,40.0,5,56.6
S1035,60.3,31.8,2,87.6
S1036,77.5,15.8,10,57.4
S1037,51.5,29.1,1,46.4
S1038,59.1,24.0,0,67.8
S1039,77.4,33.1,5,70.3
S1040,83.9,23.2,4,73.0
S1041,77.1,27.3,10,75.4
S1042,73.6,31.0,8,72.7
S1043,71.4,33.2,0,72.1
S1044,57.3,20.8,6,56.4
S1045,66.4,26.0,4,54.8
S1046,69.5,25.2,4,76.1
S1047,87.7,24.1,1,68.7
S1048,79.1,38.6,10,77.3
S1049,53.8,30.4,2,39.4
S1050,78.9,20.4,6,57.5
S1051,70.4,33.5,5,93.6
S1052,66.9,40.0,1,73.3
S1053,82.3,34.2,5,69.4
S1054,87.4,18.9,1,75.6
S1055,86.2,25.1,1,98.1
S1056,64.9,35.6,1,95.0
S1057,71.3,23.8,10,41.3
S1058,79.0,30.7,2,46.8
S1059,86.7,32.6,1,40.8
S1060,69.2,22.4,3,53.8
S1061,72.8,27.6,8,65.8
S1062,61.7,8.6,5,68.6
S1063,60.6,21.9,0,42.0
S1064,84.8,26.5,7,37.0
S1065,91.3,20.5,6,53.5
S1066,74.1,37.8,9,78.7
S1067,87.0,19.4,2,81.4
S1068,79.3,25.4,0,90.6
S1069,67.3,28.8,4,64.5
S1070,79.3,36.6,3,77.4
S1071,93.5,19.4,9,80.1
S1072,74.6,35.0,7,57.5
S1073,93.8,28.1,0,70.8
S1074,43.6,22.1,9,74.9
S1075,84.9,30.8,0,51.4
S1076,76.0,29.2,3,89.6
S1077,71.4,24.4,7,64.4
S1078,76.1,28.4,4,66.3
S1079,51.1,25.7,1,50.8
S1080,72.4,28.7,5,53.3
S1081,79.3,32.0,4,32.1
S1082,92.7,37.5,1,65.8
S1083,68.8,20.6,10,100.0
S1084,65.3,40.0,10,49.7
S1085,69.0,16.3,10,100.0
S1086,86.0,27.1,2,86.2
S1087,78.9,31.5,8,57.9
S1088,68.6,29.7,6,65.4
S1089,81.2,24.3,6,63.0
S1090,76.2,26.8,10,90.6
S1091,86.6,25.0,5,72.8
S1092,66.6,24.5,7,82.7
S1093,71.1,33.1,3,70.4
S1094,70.3,30.1,7,63.3
S1095,57.4,23.8,3,69.9
S1096,78.6,33.4,7,58.9
S1097,78.1,29.8,8,43.2
S1098,75.1,32.9,2,77.2
S1099,72.2,31.8,2,42.5
S1100,58.0,23.0,10,61.0
S1101,70.0,24.6,1,58.4
S1102,70.9,32.5,9,74.7
S1103,65.4,31.7,2,88.5
S1104,73.1,27.9,2,83.1
S1105,79.8,28.7,4,75.1
S1106,97.6,35.7,4,55.6
S1107,77.1,24.5,1,62.2
S1108,78.1,31.3,9,60.1
S1109,74.1,26.8,5,57.9
S1110,52.0,26.7,4,59.0
S1111,74.7,34.6,5,58.6
S1112,75.7,33.0,0,57.9
S1113,100.0,32.9,4,79.3
S1114,72.7,35.8,8,49.2
S1115,78.6,28.1,9,54.1
S1116,74.6,32.1,1,41.2
S1117,61.0,26.1,0,86.2
S1118,88.7,29.9,9,53.1
S1119,84.0,27.2,10,74.9
S1120,84.5,28.6,8,72.1
S1121,64.1,31.6,9,84.8
S1122,91.8,23.1,8,61.8
S1123,58.2,40.0,8,50.8
S1124,82.0,22.0,5,41.7
S1125,100.0,20.7,7,30.0
S1126,63.1,34.9,10,67.4
S1127,68.2,32.7,0,76.6
S1128,76.2,31.7,9,72.1
S1129,69.0,31.8,3,42.1
S1130,56.4,27.9,0,80.6
S1131,75.8,22.6,7,54.5
S1132,62.3,28.5,0,51.4
S1133,80.7,23.9,2,54.2
S1134,64.0,33.9,3,66.2
S1135,93.6,27.1,7,42.7
S1136,65.6,23.0,5,64.4
S1137,71.1,26.1,9,71.4
S1138,84.8,30.5,6,81.6
S1139,60.2,24.6,7,67.6
S1140,77.7,23.1,1,44.9
S1141,90.7,29.5,9,67.2
S1142,55.7,29.5,10,49.1
S1143,77.2,25.0,7,48.2
S1144,78.1,25.2,2,44.6
S1145,84.4,29.4,6,36.3
S1146,60.2,19.3,2,56.5
S1147,59.2,19.6,6,81.9
S1148,81.3,23.7,10,98.8
S1149,78.6,26.7,1,56.4
S1150,78.0,29.9,9,81.3
S1151,79.2,36.9,5,59.1
S1152,66.8,33.1,2,40.2
S1153,77.8,27.0,2,75.5
S1154,78.5,27.9,8,68.5
S1155,66.4,22.0,6,92.3
S1156,97.4,27.9,4,42.0
S1157,80.7,26.3,9,100.0
S1158,60.7,29.9,6,88.9
S1159,82.9,23.0,8,64.7
S1160,63.3,31.1,0,60.5
S1161,84.4,37.2,6,54.3
S1162,88.9,27.3,5,66.6
S1163,65.2,30.4,9,62.2
S1164,86.6,32.1,8,72.7
S1165,80.0,25.6,0,60.6
S1166,84.9,29.3,3,86.2
S1167,97.8,28.1,8,66.9
S1168,72.1,28.6,3,61.1
S1169,66.0,23.4,9,80.4
S1170,64.3,28.1,2,40.7
S1171,65.2,31.0,8,70.1
